,Acceptance Rate,Threshold,Bad Rate,Num Accepted Loans,Avg Loan Amnt,Estimated Value
0,1,1,0.219,11379,9556.28,6.11E+07
1,0.95,0.992,0.179,10591,9556.28,6.50E+07
2,0.9,0.976,0.132,10025,9556.28,7.05E+07
3,0.85,0.804,0.083,9390,9556.28,7.48E+07
4,0.8,0.254,0.061,8857,9556.28,7.43E+07
5,0.75,0.178,0.052,8229,9556.28,7.05E+07
6,0.7,0.138,0.043,7685,9556.28,6.71E+07
7,0.65,0.111,0.036,7104,9556.28,6.30E+07
8,0.6,0.093,0.03,6456,9556.28,5.80E+07
9,0.55,0.078,0.027,5870,9556.28,5.31E+07
10,0.5,0.066,0.023,5288,9556.28,4.82E+07
11,0.45,0.055,0.02,4726,9556.28,4.34E+07
12,0.4,0.045,0.017,4131,9556.28,3.81E+07
13,0.35,0.037,0.014,3536,9556.28,3.28E+07
14,0.3,0.03,0.01,2941,9556.28,2.75E+07
15,0.25,0.022,0.008,2359,9556.28,2.22E+07
16,0.2,0.015,0.005,1768,9556.28,1.67E+07
17,0.15,0.008,0.001,1187,9556.28,1.13E+07
18,0.1,0.004,0.000,576,9556.28,5.50E+06
19,0.05,0.002,0.000,405,9556.28,3.87E+06